Zipcode;Price
10115;22.28
10117;20.2
10119;21.38
10178;16.66
10179;22.82
10243;20.44
10245;20.99
10247;21.46
10249;18.7
10315;14.76
10317;18.18
10318;11.54
10319;9.39
10365;11.51
10367;13.79
10369;26.55
10405;21.21
10407;20.57
10409;17.42
10435;22.08
10437;21.77
10439;21.61
10551;15.31
10553;19.35
10555;18.98
10557;18.32
10559;18.63
10585;21.57
10587;20.24
10589;22.26
10623;21.12
10625;21.48
10627;21.76
10629;19.45
10707;21.51
10709;22.29
10711;18.72
10713;20.21
10715;23.31
10717;17.47
10719;18.96
10777;22.17
10779;21.85
10781;24.21
10783;18.94
10785;20.19
10787;18.58
10789;25.84
10823;18.48
10825;17.83
10827;20.69
10829;19.56
10961;20.15
10963;21.81
10965;20.81
10967;25.06
10969;23.12
10997;20.03
10999;17.54
12043;18.72
12045;11.73
12047;19.28
12049;21.92
12051;12.46
12053;14.99
12055;22.86
12057;19.14
12059;14.07
12099;13.66
12101;15.56
12103;20.08
12105;14.2
12107;13.37
12109;13.73
12157;13.68
12159;23.54
12161;15.21
12163;16.11
12165;17.45
12167;19.45
12169;16.36
12203;12.85
12205;13.45
12207;12.76
12209;10.63
12247;12.95
12249;10.54
12277;13.22
12279;8.54
12305;11.09
12307;12.59
12309;9.42
12347;15.05
12349;10.44
12351;13.9
12353;9.26
12355;10.58
12357;11.43
12359;15.83
12435;18.53
12437;8.94
12439;13.47
12459;13.07
12487;13.49
12489;15.3
12524;16.9
12526;13.18
12527;15.15
12529;12.66
12555;13.94
12557;10.97
12559;10.57
12587;12.74
12589;13.54
12619;7.74
12621;12.73
12623;11.94
12627;9.35
12629;9.19
12679;7.1
12681;10.2
12683;10.41
12685;8.06
12687;8.94
12689;8.9
13051;8.22
13053;9.49
13055;10.78
13057;12.27
13059;7.15
13086;18.43
13088;14.66
13089;13.97
13125;9.31
13127;12.53
13129;12.92
13156;13.17
13158;13.48
13159;11.88
13187;16.21
13189;18.12
13347;14.3
13349;17.38
13351;20.29
13353;22.65
13355;20.35
13357;11.28
13359;19.37
13403;11.08
13405;13.5
13407;14.86
13409;16.26
13435;8.32
13437;8.34
13439;12.5
13465;11.52
13467;12.67
13469;9.56
13503;11.98
13505;14.35
13507;12.52
13509;10.59
13581;15.79
13583;8.93
13585;12.82
13587;10.9
13589;8.24
13591;11.12
13593;8.57
13595;10.62
13597;11.87
13599;10.61
13627;9.18
13629;10.82
14050;23.56
14052;16.69
14055;17.24
14057;18.03
14059;19.02
14089;13.38
14109;13.07
14129;13.72
14163;11.94
14165;13.72
14167;13.88
14169;14.83
14193;16.88
14195;15.74
14197;20.55
14199;19.31
15537;11.96
